entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Afghanistan,2009,0.164932,0.704925,0.095166,4.861533,2.543884,4.129972,0.661185
Albania,2009,0.198905,0.702783,0.157738,3.391018,0.498324,2.206033,1.824955
Algeria,2009,0.196795,0.814617,0.202695,5.037067,1.654478,3.616783,0.661914
American Samoa,2009,0.249748,0.468359,0.180675,3.312584,0.763178,2.937727,1.13418
Andean Latin America,2009,0.198671,0.879161,0.331577,4.259968,0.670636,2.607964,1.590828
Andorra,2009,0.264457,0.961373,0.647337,5.283986,0.901957,3.707962,1.250261
Angola,2009,0.169454,0.622038,0.15257,3.274588,0.50214,4.157654,1.387104
Antigua and Barbuda,2009,0.205777,0.925695,0.348243,4.631364,0.785704,2.541514,2.107696
Argentina,2009,0.1974,0.770877,0.378055,6.267259,0.950796,3.64756,1.883428
Armenia,2009,0.194143,0.715319,0.152224,2.588416,0.473199,2.71182,1.982901
Australasia,2009,0.3618,1.158653,0.879941,6.954135,2.002731,4.718049,1.525189
Australia,2009,0.365813,1.149596,0.923455,6.63435,1.991759,4.857927,1.490525
Austria,2009,0.256239,0.939939,0.664675,5.353178,0.910743,3.298894,1.954449
Azerbaijan,2009,0.194475,0.685974,0.176675,2.568878,0.461672,2.544036,2.289489
Bahamas,2009,0.205218,0.88909,0.368812,4.65639,0.804518,2.609606,2.090843
Bahrain,2009,0.206511,0.835156,0.259762,4.64251,1.718016,4.014388,0.743088
Bangladesh,2009,0.250977,0.581835,0.119331,4.246028,0.49914,4.223743,1.420734
Barbados,2009,0.230546,0.91946,0.325521,4.666928,0.851133,2.740063,1.594169
Belarus,2009,0.194306,0.697769,0.18794,2.942467,0.78024,4.107442,5.461357
Belgium,2009,0.257573,0.946302,0.580717,5.208498,0.824043,4.091096,1.446052
Belize,2009,0.194082,0.878826,0.251375,4.545287,0.834264,2.841534,1.753958
Benin,2009,0.16921,0.638322,0.114918,2.898403,0.487798,3.62181,0.989957
Bermuda,2009,0.221797,0.973922,0.487164,4.689279,0.875345,2.864796,1.519329
Bhutan,2009,0.264546,0.591891,0.153142,3.777621,0.514999,3.400736,2.293304
Bolivia,2009,0.190887,0.850531,0.275173,4.23342,0.911149,3.13869,1.624242
Bosnia and Herzegovina,2009,0.1991,0.716158,0.159969,3.399781,0.430964,2.36753,2.84443
Botswana,2009,0.17885,0.636239,0.21,3.49643,0.72146,4.032543,1.619039
Brazil,2009,0.204172,1.105517,0.260296,6.396336,1.024538,3.588454,2.706941
Brunei,2009,0.272048,0.628426,0.552229,3.626608,0.885055,2.525218,0.769447
Bulgaria,2009,0.199754,0.629262,0.185467,3.590112,0.674497,2.560258,1.830034
Burkina Faso,2009,0.162521,0.619588,0.10486,2.888369,0.421325,3.596077,0.986428
Burundi,2009,0.152862,0.610414,0.086894,3.566369,0.489435,3.775062,1.581031
Cambodia,2009,0.202133,0.508095,0.095379,3.28664,0.547151,3.124683,0.826915
Cameroon,2009,0.168849,0.625306,0.127861,2.894395,0.573703,3.74954,1.032276
Canada,2009,0.314063,0.713861,0.469551,5.146801,2.213074,3.918091,1.586395
Cape Verde,2009,0.187617,0.707084,0.158223,2.990264,0.606769,4.124686,0.993497
Caribbean,2009,0.19343,0.886342,0.249579,4.55246,0.733549,3.103374,1.666258
Central African Republic,2009,0.148252,0.59162,0.092516,3.236923,0.510896,4.224298,1.428484
Central Asia,2009,0.188427,0.670577,0.153318,2.559934,0.509832,2.977656,2.560396
Central Europe,2009,0.202626,0.711058,0.199649,3.417391,0.680558,2.460304,2.017753
"Central Europe, Eastern Europe, and Central Asia",2009,0.19491,0.685023,0.189188,2.996517,0.767812,3.282012,3.821196
Central Latin America,2009,0.20559,0.791761,0.273921,2.960018,0.800478,2.701059,1.750515
Central Sub-Saharan Africa,2009,0.159339,0.618803,0.103548,3.249847,0.501234,4.006584,1.355932
Chad,2009,0.166076,0.624854,0.11409,2.880489,0.437006,3.976943,0.941573
Chile,2009,0.199636,0.787585,0.380199,6.271932,1.164654,4.038821,2.47353
China,2009,0.330649,0.322561,0.129427,3.164577,1.033863,3.408947,1.216365
Colombia,2009,0.202567,0.761556,0.231591,2.553084,1.101678,2.256667,1.731433
