entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Afghanistan,2014,0.165742,0.706876,0.103137,4.872256,2.562885,4.133526,0.662447
Albania,2014,0.200392,0.70397,0.16941,3.389319,0.510089,2.203684,1.851517
Algeria,2014,0.197602,0.81738,0.20996,5.054674,1.703742,3.62949,0.665685
American Samoa,2014,0.24917,0.468481,0.179621,3.316431,0.768486,2.937324,1.140782
Andean Latin America,2014,0.200312,0.880817,0.347463,4.265928,0.669069,2.604564,1.556634
Andorra,2014,0.263791,0.96396,0.649979,5.313837,0.903323,3.728379,1.248614
Angola,2014,0.171928,0.623583,0.167412,3.289271,0.510054,4.156468,1.385029
Antigua and Barbuda,2014,0.206399,0.925441,0.350603,4.614068,0.786771,2.539623,2.134396
Argentina,2014,0.197892,0.772175,0.394867,6.27602,0.979329,3.654178,1.82308
Armenia,2014,0.196101,0.716426,0.163623,2.588934,0.491349,2.734193,1.985974
Australasia,2014,0.360933,1.155825,0.899459,6.90815,2.103904,4.6113,1.586866
Australia,2014,0.364577,1.146475,0.941661,6.602041,2.114377,4.731142,1.508926
Austria,2014,0.256479,0.939861,0.673911,5.347641,0.912597,3.26746,1.906362
Azerbaijan,2014,0.198426,0.688604,0.199312,2.577454,0.478853,2.562571,2.321124
Bahamas,2014,0.204541,0.889332,0.365166,4.655386,0.808271,2.610829,2.095492
Bahrain,2014,0.206818,0.836124,0.267339,4.651549,1.716409,3.906875,0.734987
Bangladesh,2014,0.251651,0.58272,0.130462,4.269459,0.50545,4.182413,1.453608
Barbados,2014,0.230152,0.919698,0.324072,4.66425,0.842887,2.752656,1.591075
Belarus,2014,0.19661,0.699151,0.204173,2.946829,0.785505,4.048315,5.436959
Belgium,2014,0.257537,0.946013,0.5951,5.207286,0.817974,4.110472,1.452881
Belize,2014,0.194622,0.880507,0.256175,4.558857,0.83082,2.837371,1.766266
Benin,2014,0.169861,0.639412,0.117641,2.900659,0.497412,3.624397,0.990069
Bermuda,2014,0.221842,0.974764,0.492026,4.692152,0.858262,2.832749,1.521451
Bhutan,2014,0.266639,0.594672,0.165473,3.794211,0.52812,3.412727,2.347144
Bolivia,2014,0.192464,0.852371,0.29148,4.238367,0.903949,3.111189,1.61222
Bosnia and Herzegovina,2014,0.200121,0.71738,0.168589,3.401301,0.433846,2.325415,2.845401
Botswana,2014,0.180556,0.637921,0.22057,3.501512,0.74584,3.993973,1.624077
Brazil,2014,0.205073,1.106928,0.271348,6.261913,1.049781,3.342011,2.700511
Brunei,2014,0.272122,0.62922,0.546639,3.622286,0.895784,2.528216,0.783274
Bulgaria,2014,0.201485,0.630069,0.196577,3.587034,0.692252,2.539345,1.835404
Burkina Faso,2014,0.163652,0.620583,0.109383,2.8921,0.432363,3.629192,0.994058
Burundi,2014,0.153514,0.611738,0.088637,3.569747,0.49484,3.727607,1.578071
Cambodia,2014,0.205779,0.509014,0.103741,3.28675,0.560617,3.103511,0.837808
Cameroon,2014,0.169843,0.627219,0.130969,2.901828,0.580781,3.751296,1.028729
Canada,2014,0.314617,0.71471,0.473426,5.167921,2.207245,3.936199,1.603801
Cape Verde,2014,0.189143,0.709156,0.16665,2.994288,0.620602,4.097893,1.005064
Caribbean,2014,0.19377,0.885295,0.256281,4.559325,0.72853,3.08012,1.667218
Central African Republic,2014,0.148618,0.592557,0.0908,3.243325,0.512066,4.218068,1.419621
Central Asia,2014,0.19087,0.671957,0.166283,2.565947,0.514931,2.968997,2.508672
Central Europe,2014,0.204307,0.712564,0.211492,3.417592,0.678772,2.443654,2.023712
"Central Europe, Eastern Europe, and Central Asia",2014,0.196984,0.686148,0.20053,2.989619,0.747768,3.248311,3.704062
Central Latin America,2014,0.206842,0.794135,0.280813,2.956416,0.812624,2.687275,1.76297
Central Sub-Saharan Africa,2014,0.16069,0.620195,0.110709,3.256252,0.508971,4.004989,1.359986
Chad,2014,0.167247,0.625542,0.119501,2.880277,0.446536,3.923065,0.944296
Chile,2014,0.200535,0.789183,0.402024,6.274801,1.226406,4.02991,2.441051
China,2014,0.334796,0.322124,0.147676,3.087059,1.064056,3.367462,1.234218
Colombia,2014,0.205234,0.766514,0.248564,2.513603,1.105643,2.198192,1.759881
Comoros,2014,0.169655,0.657099,0.110177,3.622063,0.497575,3.293496,1.508562
Congo,2014,0.16851,0.613245,0.157748,3.264258,0.556661,4.058585,1.453202
Costa Rica,2014,0.212742,0.842209,0.280282,2.92924,0.76724,2.895363,1.457502
Cote d'Ivoire,2014,0.168506,0.618243,0.12912,2.867125,0.503608,3.280238,1.015745
Croatia,2014,0.207762,0.720479,0.216748,3.453567,0.741257,2.78089,2.094955
Cuba,2014,0.204009,0.942852,0.257502,4.621936,0.76921,3.326268,1.728006
Cyprus,2014,0.253292,0.937375,0.510435,5.305683,0.564165,3.293437,1.11375
Czech Republic,2014,0.209365,0.720872,0.239664,3.448396,0.9318,2.690526,2.129813
Democratic Republic of Congo,2014,0.156431,0.62089,0.08488,3.244597,0.502865,3.935312,1.336417
Denmark,2014,0.254513,1.005456,0.540403,5.316366,0.869327,3.277973,1.772537
Djibouti,2014,0.173816,0.655219,0.131505,3.543055,0.518586,3.579989,1.590056
Dominica,2014,0.199573,0.888184,0.274203,4.542434,0.892872,2.609485,2.051002
Dominican Republic,2014,0.198279,0.889288,0.292275,4.54916,0.657502,3.019259,1.581937
East Asia,2014,0.331872,0.322667,0.147953,3.09568,1.058784,3.356563,1.24894
Eastern Europe,2014,0.195873,0.679591,0.21199,2.945871,0.901514,3.798952,5.060647
Eastern Sub-Saharan Africa,2014,0.162234,0.622929,0.110943,3.624199,0.504315,3.827285,1.611974
Ecuador,2014,0.201619,0.881209,0.350229,4.300375,0.668814,2.967176,1.75853
Egypt,2014,0.187059,0.773053,0.187085,4.35339,1.44949,3.202052,0.665289
El Salvador,2014,0.196483,0.768981,0.236998,2.937975,0.599151,3.025158,2.700236
England,2014,0.258395,1.106061,0.552973,4.531862,1.717792,4.124221,1.813804
Equatorial Guinea,2014,0.184256,0.622371,0.278257,3.279858,0.54681,4.161912,1.473784
Eritrea,2014,0.158354,0.616504,0.100744,3.652097,0.520971,3.861139,1.745641
Estonia,2014,0.203149,0.708245,0.251934,2.965608,1.133075,3.902099,4.912332
Ethiopia,2014,0.162503,0.626696,0.100975,3.713517,0.489747,3.837745,1.865668
Fiji,2014,0.237749,0.451596,0.143668,3.273137,0.751021,3.179131,1.104453
Finland,2014,0.264376,1.004703,0.59194,3.749012,0.916403,4.888971,2.743361
France,2014,0.256726,0.960326,0.566911,6.643231,1.213052,4.316753,1.471849
Gabon,2014,0.181185,0.637957,0.223059,3.292458,0.570362,4.051451,1.478718
Gambia,2014,0.169544,0.645481,0.112831,2.905716,0.488557,4.132475,0.943531
