entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Afghanistan,2013,0.165579,0.706471,0.101291,4.869701,2.572396,4.134661,0.662433
Albania,2013,0.200134,0.70376,0.167105,3.390195,0.508049,2.203098,1.850358
Algeria,2013,0.197464,0.816874,0.208892,5.051019,1.696613,3.622467,0.665344
American Samoa,2013,0.249337,0.468506,0.180232,3.316344,0.766645,2.93761,1.139932
Andean Latin America,2013,0.199948,0.880485,0.34413,4.265012,0.670737,2.60518,1.564438
Andorra,2013,0.263869,0.964152,0.651222,5.314755,0.900576,3.727589,1.245315
Angola,2013,0.171531,0.623366,0.164602,3.286419,0.507611,4.158336,1.386365
Antigua and Barbuda,2013,0.206336,0.925515,0.351153,4.61745,0.78748,2.53636,2.127217
Argentina,2013,0.197801,0.771821,0.390826,6.273679,0.971257,3.651044,1.825346
Armenia,2013,0.19569,0.716129,0.162291,2.588201,0.488026,2.726631,1.989049
Australasia,2013,0.361209,1.156875,0.896443,6.916193,2.065106,4.634489,1.576682
Australia,2013,0.364942,1.147593,0.939176,6.608198,2.068835,4.759686,1.506864
Austria,2013,0.256354,0.939909,0.672787,5.34969,0.914287,3.273578,1.925424
Azerbaijan,2013,0.197754,0.68812,0.19577,2.57541,0.475547,2.557899,2.31999
Bahamas,2013,0.204763,0.889298,0.366324,4.655689,0.806484,2.609438,2.092818
Bahrain,2013,0.206761,0.835912,0.265784,4.646955,1.720106,3.922651,0.73805
Bangladesh,2013,0.251418,0.582514,0.128099,4.264447,0.504135,4.199103,1.448701
Barbados,2013,0.230321,0.919632,0.32495,4.664815,0.844062,2.749714,1.593676
Belarus,2013,0.196204,0.698947,0.201185,2.946482,0.786034,4.059205,5.45542
Belgium,2013,0.257434,0.945767,0.592095,5.20626,0.818149,4.110062,1.450025
Belize,2013,0.194513,0.880138,0.255011,4.555868,0.82949,2.838476,1.761766
Benin,2013,0.169711,0.639161,0.116836,2.899666,0.494931,3.624016,0.990294
Bermuda,2013,0.22195,0.974652,0.491942,4.69179,0.860364,2.839352,1.523584
Bhutan,2013,0.266238,0.594153,0.163164,3.791062,0.526438,3.407789,2.33687
Bolivia,2013,0.192052,0.851875,0.287493,4.237024,0.907998,3.119451,1.615284
Bosnia and Herzegovina,2013,0.199912,0.717111,0.167328,3.400929,0.433727,2.329689,2.848304
Botswana,2013,0.180136,0.63756,0.217751,3.500177,0.741731,4.002401,1.625042
Brazil,2013,0.204907,1.106805,0.269346,6.3111,1.045119,3.371926,2.70413
Brunei,2013,0.272054,0.628976,0.549248,3.622576,0.892632,2.524062,0.780455
Bulgaria,2013,0.201143,0.629847,0.194699,3.586925,0.688987,2.540351,1.837604
Burkina Faso,2013,0.163345,0.620226,0.108629,2.890348,0.429225,3.615275,0.992027
Burundi,2013,0.153296,0.611358,0.088017,3.566309,0.493837,3.731076,1.580005
Cambodia,2013,0.204988,0.508774,0.101933,3.286271,0.558189,3.10775,0.835675
Cameroon,2013,0.169581,0.626872,0.129959,2.900023,0.57888,3.750431,1.029898
Canada,2013,0.314388,0.714322,0.472149,5.165811,2.19462,3.926503,1.599727
Cape Verde,2013,0.188861,0.708774,0.165331,2.993117,0.617621,4.103363,1.003509
Caribbean,2013,0.193729,0.885579,0.255018,4.558261,0.728008,3.085705,1.667839
