entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Afghanistan,2012,0.165424,0.706086,0.099891,4.867283,2.576189,4.132485,0.662372
Albania,2012,0.199863,0.703539,0.165446,3.390807,0.505621,2.202192,1.847375
Algeria,2012,0.197312,0.816334,0.207498,5.047269,1.687763,3.616605,0.664827
American Samoa,2012,0.249481,0.468515,0.180056,3.316068,0.765848,2.936882,1.138978
Andean Latin America,2012,0.199608,0.880161,0.340893,4.26397,0.672323,2.604584,1.572009
Andorra,2012,0.264009,0.963906,0.651261,5.311803,0.900336,3.725932,1.245344
Angola,2012,0.171097,0.623105,0.161691,3.283533,0.50566,4.155512,1.387295
Antigua and Barbuda,2012,0.206249,0.925588,0.351559,4.620951,0.787474,2.536427,2.120836
Argentina,2012,0.197711,0.771522,0.388199,6.271653,0.964145,3.648385,1.828883
Armenia,2012,0.195292,0.71587,0.159679,2.587737,0.484004,2.72184,1.990613
Australasia,2012,0.361429,1.157693,0.892744,6.923868,2.034093,4.659611,1.565849
Australia,2012,0.365245,1.148473,0.93576,6.614107,2.032422,4.79008,1.504314
Austria,2012,0.256269,0.93993,0.671955,5.350918,0.914498,3.278564,1.940299
Azerbaijan,2012,0.197038,0.68763,0.191979,2.573603,0.471842,2.551568,2.316501
Bahamas,2012,0.204943,0.889261,0.367034,4.655926,0.805646,2.607301,2.090928
Bahrain,2012,0.206714,0.835608,0.264034,4.640107,1.725173,3.940631,0.741081
Bangladesh,2012,0.251231,0.582322,0.125937,4.259427,0.502253,4.213672,1.443101
Barbados,2012,0.230445,0.919566,0.325234,4.665345,0.844594,2.746834,1.5954
Belarus,2012,0.195775,0.698711,0.19883,2.945942,0.785741,4.069614,5.467508
Belgium,2012,0.257358,0.945567,0.589313,5.205432,0.817808,4.106356,1.447709
Belize,2012,0.194412,0.879805,0.254422,4.553159,0.829463,2.838261,1.758207
Benin,2012,0.169577,0.638943,0.116496,2.899008,0.493308,3.624008,0.990418
Bermuda,2012,0.222008,0.974531,0.490784,4.691385,0.8641,2.844988,1.524693
Bhutan,2012,0.265831,0.593621,0.160716,3.787863,0.523479,3.404534,2.326328
Bolivia,2012,0.191689,0.851445,0.283331,4.235876,0.911483,3.125227,1.6181
Bosnia and Herzegovina,2012,0.199705,0.716853,0.165417,3.400588,0.432706,2.336783,2.850138
Botswana,2012,0.179757,0.637226,0.215543,3.49906,0.737394,4.010065,1.625213
Brazil,2012,0.20474,1.106618,0.267234,6.350157,1.0406,3.408068,2.706707
Brunei,2012,0.272005,0.628794,0.550698,3.622953,0.890235,2.52084,0.777644
Bulgaria,2012,0.200801,0.629638,0.192502,3.587085,0.68532,2.542476,1.838604
Burkina Faso,2012,0.16308,0.619955,0.107169,2.889093,0.426375,3.604815,0.990298
Burundi,2012,0.153119,0.61104,0.087565,3.564209,0.492885,3.740353,1.581317
Cambodia,2012,0.204225,0.508557,0.100316,3.285994,0.555019,3.110733,0.833573
Cameroon,2012,0.169352,0.626523,0.129468,2.89844,0.577074,3.750921,1.030881
Canada,2012,0.314213,0.714027,0.471709,5.164413,2.187286,3.919381,1.59601
Cape Verde,2012,0.188573,0.708386,0.163585,2.992142,0.614276,4.108492,1.001682
Caribbean,2012,0.193689,0.885883,0.254113,4.557291,0.728389,3.090492,1.668059
Central African Republic,2012,0.148413,0.592169,0.092126,3.23939,0.510576,4.218944,1.425285
Central Asia,2012,0.189852,0.671353,0.161369,2.562685,0.514857,2.971111,2.542247
Central Europe,2012,0.203614,0.711945,0.206911,3.41849,0.67963,2.449642,2.022511
"Central Europe, Eastern Europe, and Central Asia",2012,0.196255,0.68571,0.196352,2.993301,0.761085,3.256889,3.782069
Central Latin America,2012,0.206319,0.79326,0.277674,2.954832,0.806595,2.686977,1.760677
Central Sub-Saharan Africa,2012,0.160178,0.619568,0.106823,3.252932,0.504434,4.003474,1.358965
Chad,2012,0.166766,0.625093,0.117701,2.878809,0.442021,3.950439,0.943893
Chile,2012,0.200063,0.7884,0.39326,6.275085,1.202907,4.022345,2.445716
China,2012,0.332898,0.322355,0.140075,3.121833,1.044064,3.393032,1.232654
Colombia,2012,0.204063,0.764691,0.241137,2.518935,1.11095,2.210586,1.755161
Comoros,2012,0.169427,0.65604,0.109856,3.610397,0.494399,3.281036,1.506415
Congo,2012,0.167825,0.612688,0.155086,3.261824,0.555209,4.089022,1.456265
Costa Rica,2012,0.212048,0.840921,0.274112,2.92315,0.7607,2.889929,1.451098
Cote d'Ivoire,2012,0.167774,0.617304,0.126767,2.862985,0.50357,3.256594,1.018881
Croatia,2012,0.207709,0.720379,0.214553,3.456825,0.753904,2.786208,2.095719
Cuba,2012,0.203594,0.942497,0.25221,4.620629,0.76418,3.340647,1.721256
Cyprus,2012,0.253651,0.937379,0.510921,5.305889,0.55777,3.280645,1.113191
Czech Republic,2012,0.208995,0.720459,0.236274,3.450746,0.912619,2.701576,2.135204
Democratic Republic of Congo,2012,0.156107,0.620298,0.081381,3.241989,0.49773,3.930694,1.33349
Denmark,2012,0.254474,1.00546,0.539462,5.317483,0.857337,3.275031,1.789299
Djibouti,2012,0.173005,0.654014,0.128609,3.528999,0.515127,3.571264,1.588531
Dominica,2012,0.199355,0.887971,0.272025,4.542037,0.892418,2.601618,2.026716
Dominican Republic,2012,0.197501,0.88801,0.285472,4.542877,0.645102,3.039955,1.582873
East Asia,2012,0.330001,0.322881,0.140575,3.129285,1.03897,3.381354,1.246598
Eastern Europe,2012,0.195146,0.679077,0.207656,2.946396,0.922245,3.808728,5.188779
Eastern Sub-Saharan Africa,2012,0.161445,0.622227,0.107972,3.612962,0.501139,3.835355,1.610288
