entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Afghanistan,2007,0.164302,0.703998,0.091688,4.858861,2.405564,4.129728,0.657709
Albania,2007,0.197636,0.701983,0.1517,3.388914,0.497442,2.217203,1.766903
Algeria,2007,0.196171,0.812887,0.198161,5.028814,1.596378,3.639683,0.655626
American Samoa,2007,0.249828,0.467945,0.180478,3.303257,0.761175,2.938707,1.123437
Andean Latin America,2007,0.197746,0.878118,0.321958,4.255352,0.667873,2.618405,1.606861
Andorra,2007,0.264885,0.96058,0.64346,5.275007,0.901852,3.711485,1.245927
Angola,2007,0.167419,0.620769,0.143384,3.267077,0.501078,4.174493,1.381686
Antigua and Barbuda,2007,0.204888,0.925357,0.341188,4.636049,0.787775,2.560037,2.10269
Argentina,2007,0.19693,0.770414,0.367761,6.263549,0.944449,3.651586,2.096837
Armenia,2007,0.193018,0.715133,0.143598,2.590272,0.46485,2.703805,1.947668
Australasia,2007,0.362396,1.158401,0.86446,7.023575,2.044542,4.769263,1.47809
Australia,2007,0.366635,1.149731,0.90658,6.6679,2.027429,4.906827,1.464827
Austria,2007,0.25644,0.94009,0.65167,5.35486,0.895082,3.327938,1.945237
Azerbaijan,2007,0.191468,0.68406,0.157216,2.563236,0.450855,2.54879,2.226008
Bahamas,2007,0.205218,0.888496,0.370166,4.654079,0.810028,2.624197,2.098828
Bahrain,2007,0.206249,0.835062,0.25941,4.661296,1.683856,4.101758,0.738238
Bangladesh,2007,0.250968,0.5816,0.115688,4.248704,0.497624,4.226988,1.389282
Barbados,2007,0.230298,0.919259,0.325042,4.666654,0.859351,2.733735,1.582422
Belarus,2007,0.1927,0.69673,0.178754,2.937463,0.770609,4.150033,5.39758
Belgium,2007,0.258939,0.950801,0.576778,5.224673,0.840366,4.033786,1.457719
Belize,2007,0.193574,0.877848,0.248519,4.538062,0.847446,2.851076,1.754046
Benin,2007,0.168718,0.637716,0.114559,2.899905,0.484548,3.620189,0.988816
Bermuda,2007,0.220932,0.973111,0.47826,4.685989,0.888829,2.894363,1.494215
Bhutan,2007,0.263276,0.590298,0.147716,3.768098,0.507168,3.426979,2.265537
Bolivia,2007,0.190344,0.849986,0.269401,4.231903,0.904166,3.146133,1.625202
Bosnia and Herzegovina,2007,0.198458,0.715778,0.15461,3.401338,0.430802,2.415036,2.801711
Botswana,2007,0.178166,0.635174,0.206201,3.49447,0.699329,4.048557,1.599807
Brazil,2007,0.203373,1.103756,0.254081,6.395706,0.997877,3.895578,2.696485
Brunei,2007,0.272504,0.628229,0.546872,3.628124,0.883679,2.547353,0.762688
Bulgaria,2007,0.19859,0.628816,0.178052,3.583689,0.667397,2.590202,1.795127
Burkina Faso,2007,0.162078,0.6195,0.103637,2.891344,0.41723,3.611449,0.983172
Burundi,2007,0.152764,0.609658,0.086837,3.571468,0.486941,3.838082,1.576042
Cambodia,2007,0.200637,0.507818,0.091899,3.287212,0.544267,3.137938,0.818463
Cameroon,2007,0.168348,0.62327,0.126903,2.889192,0.571613,3.737619,1.030034
Canada,2007,0.314422,0.714762,0.467022,5.056273,2.26861,3.949366,1.580035
Cape Verde,2007,0.186417,0.705548,0.153174,2.989507,0.602223,4.135977,0.980066
Caribbean,2007,0.192906,0.886705,0.245824,4.550556,0.73857,3.12354,1.653751
Central African Republic,2007,0.148297,0.591098,0.092535,3.236191,0.512593,4.233188,1.429854
Central Asia,2007,0.187087,0.669886,0.145627,2.558465,0.501513,2.991279,2.539119
Central Europe,2007,0.201577,0.710083,0.192828,3.413593,0.682344,2.473322,2.003986
"Central Europe, Eastern Europe, and Central Asia",2007,0.192935,0.684327,0.181848,2.996383,0.766393,3.321594,3.748724
Central Latin America,2007,0.204776,0.789652,0.270799,2.990191,0.799644,2.735044,1.723217
Central Sub-Saharan Africa,2007,0.158255,0.618057,0.101198,3.248087,0.502181,4.024207,1.35012
Chad,2007,0.165304,0.625087,0.110871,2.885875,0.435464,3.994275,0.935683
Chile,2007,0.199288,0.786922,0.370711,6.267107,1.127773,4.133177,2.549869
China,2007,0.328819,0.322216,0.122403,3.187971,1.040608,3.390858,1.179535
Colombia,2007,0.201283,0.757862,0.225744,2.66042,1.067933,2.365835,1.653701
Comoros,2007,0.169443,0.65473,0.110574,3.604683,0.486492,3.292491,1.487351
Congo,2007,0.166396,0.611303,0.148339,3.260289,0.566517,4.166161,1.465012
Costa Rica,2007,0.210183,0.835588,0.260834,2.899578,0.745167,2.865004,1.435702
Cote d'Ivoire,2007,0.167263,0.616652,0.126595,2.866798,0.505999,3.252641,1.020389
Croatia,2007,0.206546,0.719629,0.205239,3.460683,0.766384,2.836804,2.051808
Cuba,2007,0.201655,0.941165,0.232986,4.615156,0.759317,3.436416,1.68297
Cyprus,2007,0.253291,0.936794,0.500641,5.301493,0.565187,3.310162,1.081861
Czech Republic,2007,0.208127,0.719784,0.225767,3.453683,0.907129,2.736033,2.078115
Democratic Republic of Congo,2007,0.154693,0.619097,0.080184,3.240541,0.494601,3.949286,1.321439
Denmark,2007,0.242133,1.004998,0.533105,5.316432,0.848743,3.31291,1.78679
Djibouti,2007,0.171879,0.651912,0.124243,3.508438,0.510112,3.583663,1.581225
Dominica,2007,0.198438,0.887244,0.261372,4.541596,0.900705,2.600688,2.003234
Dominican Republic,2007,0.195262,0.884199,0.267364,4.526402,0.618557,3.069473,1.567708
East Asia,2007,0.325969,0.322717,0.123398,3.193305,1.034529,3.379456,1.193278
Eastern Europe,2007,0.190715,0.677632,0.191563,2.940448,0.924846,3.901434,5.117585
Eastern Sub-Saharan Africa,2007,0.159318,0.620231,0.101475,3.597017,0.495132,3.898707,1.566098
Ecuador,2007,0.199071,0.87761,0.323504,4.285642,0.659436,2.959376,1.817016
Egypt,2007,0.185262,0.769353,0.172258,4.219895,1.297741,3.170282,0.6378
El Salvador,2007,0.194084,0.764657,0.220663,2.916086,0.582179,3.043548,2.856143
England,2007,0.25454,1.105194,0.538065,4.509582,1.766842,4.08604,1.724111
Equatorial Guinea,2007,0.181646,0.619325,0.256166,3.287528,0.534703,4.157142,1.448437
Eritrea,2007,0.159227,0.61598,0.103546,3.649225,0.519842,3.8896,1.786537
Estonia,2007,0.200382,0.707326,0.239855,2.966155,1.11473,4.154931,4.9616
Ethiopia,2007,0.15682,0.623522,0.084328,3.685207,0.479077,3.915669,1.700372
Fiji,2007,0.23566,0.449347,0.138105,3.251044,0.738319,3.168357,1.064304
Finland,2007,0.269105,1.00413,0.591166,3.723251,0.885667,5.034262,2.855894
France,2007,0.258517,0.965969,0.550719,6.740931,1.193195,4.260417,1.469029
Gabon,2007,0.18116,0.636974,0.221062,3.283671,0.584154,4.124147,1.505698
Gambia,2007,0.169414,0.64427,0.112722,2.904281,0.477628,4.19142,0.932206
Georgia,2007,0.191413,0.706731,0.142197,2.600349,0.451574,2.78403,1.93751
