entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Afghanistan,2011,0.165272,0.705688,0.098638,4.864773,2.57317,4.130862,0.662254
Albania,2011,0.199588,0.703313,0.16242,3.391181,0.502703,2.202291,1.843256
Algeria,2011,0.197161,0.815808,0.206218,5.043828,1.6791,3.615173,0.664221
American Samoa,2011,0.249596,0.468497,0.180384,3.315545,0.764531,2.937032,1.137934
Andean Latin America,2011,0.199295,0.879847,0.337862,4.262846,0.672666,2.605285,1.578811
Andorra,2011,0.264054,0.963822,0.652492,5.310743,0.898473,3.725281,1.242683
Angola,2011,0.170636,0.622816,0.159317,3.280661,0.503816,4.15542,1.387895
Antigua and Barbuda,2011,0.206146,0.925668,0.350378,4.624571,0.786418,2.535758,2.115421
Argentina,2011,0.197617,0.771251,0.384078,6.269782,0.958496,3.647499,1.833472
Armenia,2011,0.194915,0.715654,0.15735,2.587683,0.479967,2.718093,1.990836
Australasia,2011,0.361582,1.158264,0.888601,6.930864,2.01336,4.679037,1.554373
Australia,2011,0.365464,1.149079,0.931935,6.619503,2.007703,4.813622,1.501284
Austria,2011,0.256221,0.939936,0.669635,5.35176,0.913811,3.284905,1.950263
Azerbaijan,2011,0.196291,0.687136,0.187696,2.572031,0.469027,2.547138,2.311377
Bahamas,2011,0.205082,0.889239,0.368078,4.65624,0.805059,2.60617,2.089806
Bahrain,2011,0.206676,0.835196,0.261234,4.631856,1.730687,3.957653,0.743792
Bangladesh,2011,0.251094,0.582141,0.123681,4.254232,0.500641,4.221367,1.437029
Barbados,2011,0.230531,0.919525,0.325952,4.665952,0.846158,2.7453,1.596336
Belarus,2011,0.195331,0.69844,0.195576,2.945178,0.784316,4.082054,5.473536
Belgium,2011,0.257318,0.945468,0.586292,5.205096,0.817703,4.104088,1.445937
Belize,2011,0.194311,0.879462,0.253082,4.550472,0.829926,2.837923,1.755635
Benin,2011,0.169458,0.638744,0.115905,2.898581,0.491156,3.622748,0.990419
Bermuda,2011,0.222014,0.974363,0.490018,4.690817,0.867153,2.850545,1.52491
Bhutan,2011,0.265423,0.59308,0.158068,3.784684,0.520409,3.400647,2.315608
Bolivia,2011,0.191377,0.851074,0.279907,4.234863,0.912915,3.130259,1.620643
Bosnia and Herzegovina,2011,0.199508,0.71661,0.163954,3.400252,0.43185,2.344023,2.851393
Botswana,2011,0.17942,0.636902,0.213178,3.49805,0.732928,4.018581,1.624637
Brazil,2011,0.204578,1.106378,0.264975,6.377567,1.036564,3.449547,2.70827
Brunei,2011,0.27198,0.628646,0.552189,3.623889,0.888067,2.520227,0.774864
Bulgaria,2011,0.20047,0.629481,0.190407,3.587989,0.680423,2.545709,1.838541
Burkina Faso,2011,0.162859,0.619757,0.106297,2.888256,0.424025,3.597446,0.988848
Burundi,2011,0.152992,0.610802,0.087306,3.563612,0.491492,3.747798,1.582077
Cambodia,2011,0.2035,0.508374,0.098796,3.285991,0.551556,3.115061,0.831558
Cameroon,2011,0.169167,0.626203,0.128834,2.897157,0.575309,3.752018,1.031696
Canada,2011,0.314082,0.713801,0.470892,5.163595,2.188105,3.913974,1.59254
Cape Verde,2011,0.188287,0.707998,0.162008,2.991367,0.61122,4.113623,0.999625
Caribbean,2011,0.193655,0.886211,0.252788,4.556424,0.729276,3.095358,1.667971
Central African Republic,2011,0.148338,0.591996,0.092436,3.238301,0.510144,4.2204,1.426909
Central Asia,2011,0.18938,0.671082,0.158886,2.561489,0.514044,2.972443,2.553113
Central Europe,2011,0.203296,0.711686,0.204611,3.418548,0.679808,2.452247,2.021551
"Central Europe, Eastern Europe, and Central Asia",2011,0.195879,0.685505,0.194227,2.994901,0.765112,3.262616,3.807216
Central Latin America,2011,0.206084,0.792834,0.276315,2.954369,0.804007,2.688725,1.759015
Central Sub-Saharan Africa,2011,0.15993,0.619311,0.105572,3.25175,0.502391,4.003433,1.358288
Chad,2011,0.166546,0.624954,0.116408,2.878784,0.439667,3.961056,0.94349
Chile,2011,0.19989,0.788093,0.389265,6.274701,1.191403,4.019435,2.450119
China,2011,0.332101,0.32247,0.136489,3.137424,1.037749,3.402178,1.229909
Colombia,2011,0.203551,0.763774,0.237897,2.523272,1.110854,2.219333,1.751944
Comoros,2011,0.169352,0.655654,0.109981,3.60659,0.492759,3.278241,1.50532
Congo,2011,0.167538,0.612449,0.153732,3.261174,0.554568,4.103064,1.457627
Costa Rica,2011,0.211746,0.840234,0.27126,2.919845,0.75804,2.885282,1.448878
Cote d'Ivoire,2011,0.167541,0.617022,0.125465,2.862045,0.503164,3.249178,1.020245
Croatia,2011,0.207639,0.720291,0.213205,3.457981,0.758237,2.790946,2.0944
Cuba,2011,0.203372,0.942297,0.24934,4.6199,0.762393,3.348778,1.717483
Cyprus,2011,0.253749,0.93738,0.51099,5.305934,0.556325,3.279798,1.112423
Czech Republic,2011,0.208842,0.720304,0.234865,3.451666,0.907042,2.706139,2.134149
Democratic Republic of Congo,2011,0.155953,0.620069,0.080512,3.241299,0.495354,3.929642,1.332125
Denmark,2011,0.254384,1.005413,0.539633,5.317582,0.85307,3.276423,1.79494
Djibouti,2011,0.172702,0.653534,0.127398,3.523542,0.513341,3.567165,1.588125
Dominica,2011,0.199261,0.887919,0.270337,4.542232,0.892947,2.599114,2.018154
Dominican Republic,2011,0.197144,0.887405,0.281621,4.54008,0.641676,3.047809,1.582718
East Asia,2011,0.329209,0.322985,0.137092,3.144332,1.032634,3.390218,1.243576
Eastern Europe,2011,0.194738,0.678861,0.205397,2.946532,0.927718,3.81695,5.227939
Eastern Sub-Saharan Africa,2011,0.161072,0.621906,0.10658,3.608638,0.499803,3.841162,1.6092
Ecuador,2011,0.200526,0.879678,0.337751,4.295131,0.666404,2.960197,1.79532
Egypt,2011,0.186246,0.771123,0.181297,4.342231,1.409767,3.18462,0.663065
El Salvador,2011,0.19542,0.767472,0.229858,2.930574,0.585721,3.027701,2.758677
England,2011,0.254217,1.105838,0.550783,4.532083,1.759919,4.123528,1.808946
Equatorial Guinea,2011,0.183182,0.621337,0.276207,3.283483,0.537121,4.158115,1.464216
Eritrea,2011,0.158298,0.615921,0.100695,3.645635,0.519995,3.861136,1.760792
Estonia,2011,0.202214,0.708157,0.250151,2.968054,1.128999,3.982428,5.015845
Ethiopia,2011,0.160215,0.625689,0.093292,3.698829,0.483421,3.863996,1.860681
Fiji,2011,0.23702,0.450737,0.141395,3.265503,0.746078,3.1808,1.098757
Finland,2011,0.268488,1.004057,0.590937,3.747761,0.886242,4.961094,2.820935
France,2011,0.257284,0.962348,0.559685,6.658921,1.221963,4.347922,1.495237
Gabon,2011,0.181005,0.63758,0.220805,3.287178,0.571837,4.064521,1.489868
Gambia,2011,0.169449,0.644864,0.112748,2.901834,0.480905,4.1203,0.942538
Georgia,2011,0.19372,0.707202,0.156341,2.597258,0.466871,2.786203,2.040247
Germany,2011,0.251485,0.781582,0.516948,6.584403,0.90355,3.92806,2.062087
Ghana,2011,0.171816,0.638148,0.132494,2.907637,0.600392,3.370711,0.995103
Greece,2011,0.25403,0.947111,0.576234,5.804698,0.528951,4.308968,1.136072
Greenland,2011,0.318217,0.592785,0.525235,5.689456,1.891274,6.416705,3.353504
Grenada,2011,0.199074,0.892623,0.279354,4.539313,0.771112,2.778754,1.713354
Guam,2011,0.261324,0.478919,0.249656,3.319812,0.800996,3.519842,1.249598
Guatemala,2011,0.191773,0.740344,0.223332,2.894485,0.67999,3.327176,2.717977
Guinea,2011,0.16489,0.627921,0.107005,2.891207,0.435497,3.538543,0.936966
Guinea-Bissau,2011,0.162134,0.613197,0.107267,2.907419,0.466012,3.653309,0.983722
Guyana,2011,0.184115,0.841971,0.217457,4.514531,0.710751,4.244611,2.045249
Haiti,2011,0.171773,0.799275,0.15757,4.504194,0.61587,2.972952,1.662479
High SDI,2011,0.294248,0.751645,0.490507,5.318973,1.68303,3.881325,1.581327
High-income,2011,0.289135,0.79349,0.528836,5.675161,1.736268,4.061211,1.573049
High-income Asia Pacific,2011,0.290207,0.653703,0.442326,3.632128,0.889186,3.095441,1.020412
High-middle SDI,2011,0.270607,0.571809,0.202329,3.829895,1.093257,3.59877,1.942049
Honduras,2011,0.188283,0.74835,0.194495,2.854812,0.684215,2.731877,1.765912
Hungary,2011,0.204595,0.702335,0.227754,3.463867,0.724695,2.761039,2.187616
Iceland,2011,0.25679,0.965719,0.54697,5.286489,0.681506,3.36087,1.210316
India,2011,0.263563,0.555144,0.139099,3.286323,0.503234,3.520174,1.178418
Indonesia,2011,0.225059,0.539009,0.132299,3.271588,0.56906,2.610547,0.645342
Iran,2011,0.201296,0.81461,0.227861,7.174019,2.066282,4.935346,0.591843
Iraq,2011,0.187105,0.664217,0.188519,4.694393,1.751559,3.708303,0.654867
Ireland,2011,0.325887,0.803195,0.527454,5.822472,1.062048,4.338509,2.131855
Israel,2011,0.262633,0.922343,0.439838,3.077637,0.683791,4.055852,0.51564
Italy,2011,0.236973,0.946343,0.620217,5.632372,1.335062,3.455118,0.467204
Jamaica,2011,0.199068,0.926569,0.257424,4.570486,0.95172,2.557727,1.450941
Japan,2011,0.303683,0.68801,0.45997,3.554519,0.884494,3.146267,0.567478
Jordan,2011,0.192642,0.810417,0.183502,4.907162,1.541801,3.567991,0.653258
Kazakhstan,2011,0.196722,0.665191,0.210804,2.599617,0.655303,3.528115,3.603549
Kenya,2011,0.169296,0.640705,0.126393,3.614927,0.476042,3.55137,1.254461
Kiribati,2011,0.208352,0.423782,0.091957,3.275543,0.711923,3.190087,1.050765
Kuwait,2011,0.214887,0.860492,0.339605,4.859588,1.580541,3.547218,0.683594
Kyrgyzstan,2011,0.180458,0.66238,0.122188,2.554008,0.543128,3.0722,2.987107
Laos,2011,0.209824,0.530612,0.111887,4.203302,0.671772,2.868013,0.921068
Latin America and Caribbean,2011,0.203751,0.93117,0.275736,4.57186,0.870368,3.010447,2.11396
Latvia,2011,0.19772,0.695722,0.214265,2.943655,1.025066,3.498914,4.496109
Lebanon,2011,0.197341,0.993993,0.214196,6.060536,2.084821,3.803032,0.657216
Lesotho,2011,0.158956,0.604902,0.127995,3.470279,0.758902,5.610888,1.679977
Liberia,2011,0.159605,0.628958,0.085829,2.868031,0.505007,3.76837,0.946418
Libya,2011,0.198929,0.804992,0.247047,4.967696,2.505706,3.783212,0.686807
Lithuania,2011,0.19756,0.696081,0.215598,2.923145,0.57735,4.199423,4.547094
Low SDI,2011,0.212708,0.591406,0.110542,3.515536,0.561338,3.619885,1.27523
Low-middle SDI,2011,0.231419,0.607459,0.14699,3.642303,0.714966,3.667883,1.297742
Luxembourg,2011,0.263021,0.934299,0.732959,5.322537,0.95407,3.628451,1.378886
Macedonia,2011,0.200841,0.709554,0.173388,3.394394,0.48049,2.338303,1.874604
Madagascar,2011,0.163355,0.630846,0.101813,3.549372,0.491319,3.687992,1.508725
Malawi,2011,0.153418,0.603017,0.097299,3.6063,0.498343,3.336904,1.611931
Malaysia,2011,0.248416,0.577102,0.188448,4.476402,0.651677,3.38919,0.64364
Maldives,2011,0.238868,0.562743,0.154566,3.231567,0.656428,3.20457,0.802505
Mali,2011,0.16661,0.627252,0.112912,2.878674,0.428977,2.931646,0.90281
Malta,2011,0.256313,0.961901,0.488768,5.317793,0.873085,3.327916,1.105108
Marshall Islands,2011,0.217647,0.428784,0.109504,3.233151,0.767848,3.122036,1.219837
Mauritania,2011,0.1778,0.659954,0.138022,2.919435,0.486729,3.018219,0.925017
Mauritius,2011,0.238116,0.563482,0.170559,3.317778,0.700324,3.537207,1.284562
