entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Afghanistan,2015,0.165895,0.707275,0.104445,4.875201,2.543144,4.135419,0.662276
Albania,2015,0.20063,0.704161,0.171095,3.388212,0.513158,2.204454,1.850252
Algeria,2015,0.197728,0.817862,0.211434,5.058398,1.709814,3.636962,0.665817
American Samoa,2015,0.248981,0.468434,0.179144,3.316201,0.769507,2.936809,1.141513
Andean Latin America,2015,0.200693,0.881143,0.350127,4.266704,0.667189,2.605462,1.548874
Andorra,2015,0.263713,0.963754,0.647221,5.310493,0.905575,3.727885,1.251926
Angola,2015,0.172277,0.623748,0.169554,3.291955,0.513006,4.158484,1.383269
Antigua and Barbuda,2015,0.206434,0.925368,0.35062,4.610817,0.785735,2.54375,2.142253
Argentina,2015,0.197978,0.772568,0.397998,6.278538,0.987998,3.657683,1.822172
Armenia,2015,0.196525,0.716774,0.164968,2.589917,0.496236,2.740289,1.981193
Australasia,2015,0.36062,1.154582,0.901627,6.899991,2.152178,4.58355,1.596388
Australia,2015,0.364163,1.14513,0.943206,6.595691,2.170634,4.696774,1.510434
Austria,2015,0.256627,0.939758,0.67485,5.344587,0.910998,3.264032,1.883372
Azerbaijan,2015,0.199034,0.689049,0.201758,2.579432,0.481362,2.571226,2.319493
Bahamas,2015,0.204284,0.889381,0.364253,4.655273,0.811445,2.614571,2.098918
Bahrain,2015,0.206882,0.83618,0.268745,4.652923,1.715204,3.892511,0.732159
Bangladesh,2015,0.251929,0.582942,0.132744,4.2744,0.508198,4.160873,1.457626
Barbados,2015,0.229942,0.919786,0.323164,4.663841,0.842039,2.756602,1.587563
Belarus,2015,0.196995,0.699353,0.207219,2.947074,0.784656,4.038801,5.412366
Belgium,2015,0.257675,0.946314,0.598318,5.208646,0.819489,4.110452,1.456476
Belize,2015,0.19473,0.880893,0.257195,4.562088,0.83255,2.837546,1.771524
Benin,2015,0.170013,0.639664,0.118821,2.901891,0.499514,3.627308,0.989687
Bermuda,2015,0.221681,0.974871,0.492199,4.692532,0.856709,2.829559,1.51812
Bhutan,2015,0.267006,0.595129,0.167915,3.796971,0.530377,3.420515,2.356853
Bolivia,2015,0.192922,0.852942,0.29572,4.239985,0.898802,3.102902,1.608975
Bosnia and Herzegovina,2015,0.200322,0.717641,0.169897,3.401638,0.433851,2.321622,2.84123
Botswana,2015,0.180996,0.638262,0.223225,3.502876,0.748598,3.98648,1.62203
Brazil,2015,0.205235,1.106988,0.273366,6.204158,1.054041,3.319423,2.695875
Brunei,2015,0.272187,0.629451,0.543985,3.621917,0.898972,2.537144,0.786194
Bulgaria,2015,0.201824,0.630306,0.198616,3.587231,0.69669,2.539862,1.832053
Burkina Faso,2015,0.163992,0.621011,0.111105,2.894299,0.435489,3.648042,0.996358
Burundi,2015,0.153772,0.612157,0.089309,3.574121,0.496275,3.723271,1.575593
Cambodia,2015,0.206596,0.509291,0.105162,3.287511,0.564367,3.100648,0.839945
Cameroon,2015,0.17014,0.627575,0.1315,2.903927,0.582792,3.750112,1.027423
Canada,2015,0.314901,0.715199,0.474343,5.170797,2.22515,3.949642,1.608215
Cape Verde,2015,0.189409,0.709517,0.167825,2.995634,0.624374,4.092633,1.006284
Caribbean,2015,0.193809,0.885035,0.25747,4.560563,0.729487,3.075191,1.666139
Central African Republic,2015,0.148752,0.592732,0.090661,3.245496,0.513144,4.215257,1.415987
Central Asia,2015,0.191392,0.672275,0.168653,2.567929,0.514785,2.967975,2.485238
Central Europe,2015,0.204666,0.712869,0.213618,3.416929,0.678384,2.441591,2.02369
"Central Europe, Eastern Europe, and Central Asia",2015,0.197323,0.686389,0.202417,2.987764,0.739271,3.245205,3.648088
Central Latin America,2015,0.207121,0.794567,0.28256,2.957565,0.815663,2.689427,1.763385
Central Sub-Saharan Africa,2015,0.160928,0.620517,0.112837,3.258425,0.512525,4.008129,1.360349
Chad,2015,0.167499,0.625867,0.120668,2.881842,0.449877,3.908367,0.944222
Chile,2015,0.200819,0.789644,0.406375,6.274265,1.23733,4.036576,2.441463
China,2015,0.335852,0.32202,0.151513,3.068531,1.078275,3.351279,1.23219
Colombia,2015,0.205874,0.767383,0.252133,2.512714,1.098011,2.194632,1.760847
Comoros,2015,0.169815,0.657773,0.110298,3.629924,0.500299,3.303571,1.509387
Congo,2015,0.168902,0.613573,0.158622,3.266041,0.557216,4.041543,1.45165
Costa Rica,2015,0.213118,0.842788,0.283687,2.932009,0.771107,2.899138,1.461754
Cote d'Ivoire,2015,0.168989,0.618876,0.131672,2.870304,0.503559,3.296712,1.013954
Croatia,2015,0.207743,0.720525,0.21708,3.451754,0.732889,2.778406,2.092207
Cuba,2015,0.204195,0.943018,0.259617,4.622527,0.771342,3.322598,1.730818
Cyprus,2015,0.253026,0.937371,0.510185,5.305575,0.568759,3.302054,1.113303
Czech Republic,2015,0.209562,0.721078,0.240712,3.446872,0.946076,2.685547,2.122513
Democratic Republic of Congo,2015,0.156588,0.621254,0.087167,3.246691,0.507088,3.940707,1.337892
Denmark,2015,0.254433,1.005441,0.54071,5.315579,0.877252,3.281306,1.760998
Djibouti,2015,0.174312,0.65594,0.132901,3.55146,0.520697,3.587848,1.591044
Dominica,2015,0.199683,0.888325,0.275548,4.543011,0.893748,2.615136,2.066019
Dominican Republic,2015,0.198681,0.889925,0.296195,4.552426,0.6643,3.007645,1.580684
East Asia,2015,0.332907,0.322568,0.151683,3.077758,1.072775,3.340808,1.247432
Eastern Europe,2015,0.196169,0.679882,0.213883,2.945351,0.887288,3.797919,4.969887
Eastern Sub-Saharan Africa,2015,0.162643,0.62329,0.112506,3.630865,0.506294,3.824851,1.612461
Ecuador,2015,0.202036,0.881771,0.354659,4.302069,0.668551,2.970413,1.742634
Egypt,2015,0.187391,0.773888,0.189265,4.356463,1.45946,3.211476,0.665532
El Salvador,2015,0.196909,0.769541,0.239302,2.940689,0.604498,3.024102,2.682717
England,2015,0.26057,1.106305,0.553326,4.532585,1.700611,4.123838,1.810039
Equatorial Guinea,2015,0.184624,0.622716,0.27825,3.279457,0.550682,4.163687,1.476384
Eritrea,2015,0.158428,0.616791,0.1013,3.655814,0.522229,3.861327,1.740921
Estonia,2015,0.203442,0.708249,0.251524,2.964644,1.131572,3.880068,4.855356
Ethiopia,2015,0.163285,0.626978,0.103668,3.719316,0.492687,3.829889,1.865996
Fiji,2015,0.23802,0.451918,0.144976,3.276218,0.753351,3.178253,1.105823
Finland,2015,0.262308,1.005044,0.59266,3.749912,0.926837,4.857565,2.70387
France,2015,0.256537,0.959573,0.569338,6.637445,1.204663,4.299326,1.457863
Gabon,2015,0.181283,0.638098,0.223865,3.29489,0.569826,4.049274,1.474538
Gambia,2015,0.169585,0.645736,0.11323,2.907775,0.492627,4.13884,0.943623
Georgia,2015,0.195737,0.708309,0.166974,2.599692,0.483852,2.793426,2.070307
Germany,2015,0.25172,0.779517,0.522847,6.566759,0.893847,3.946206,1.927178
Ghana,2015,0.174007,0.640804,0.141231,2.923209,0.615468,3.382018,1.003159
Greece,2015,0.2533,0.948286,0.568756,5.798518,0.54563,4.231759,1.131753
Greenland,2015,0.320176,0.594414,0.535706,5.712688,1.957158,6.314134,3.18089
Grenada,2015,0.199652,0.893311,0.285699,4.532445,0.772301,2.772361,1.736153
Guam,2015,0.261287,0.47846,0.251294,3.312318,0.804863,3.50987,1.266547
Guatemala,2015,0.192765,0.742245,0.228957,2.902515,0.677789,3.249042,2.670481
Guinea,2015,0.165683,0.628972,0.109931,2.896095,0.446693,3.550241,0.942849
Guinea-Bissau,2015,0.162693,0.614228,0.109678,2.911761,0.475158,3.660965,0.981464
Guyana,2015,0.185546,0.844592,0.230387,4.536003,0.720859,4.196997,2.055865
Haiti,2015,0.172146,0.800496,0.1594,4.512905,0.632717,2.964077,1.656284
High SDI,2015,0.294665,0.750087,0.493145,5.314827,1.776537,3.915474,1.58747
High-income,2015,0.288489,0.79236,0.529983,5.676707,1.827808,4.092054,1.577082
High-income Asia Pacific,2015,0.287779,0.652422,0.446327,3.637654,0.907558,3.201251,1.040364
High-middle SDI,2015,0.273527,0.577872,0.217754,3.808405,1.124029,3.580021,1.8659
Honduras,2015,0.189238,0.750783,0.201099,2.868273,0.696499,2.74576,1.766644
Hungary,2015,0.205242,0.703031,0.234708,3.458544,0.717386,2.754503,2.135476
Iceland,2015,0.257168,0.969292,0.556969,5.294539,0.703828,3.360755,1.231484
India,2015,0.260509,0.55639,0.15115,3.294846,0.517256,3.515554,1.128306
Indonesia,2015,0.228273,0.539916,0.142546,3.276482,0.581601,2.625926,0.649699
Iran,2015,0.201429,0.815302,0.231553,7.055339,2.006893,5.039831,0.581339
Iraq,2015,0.188659,0.665481,0.201027,4.710038,1.656386,3.813491,0.653408
Ireland,2015,0.327456,0.804668,0.549164,5.83418,1.054477,4.286581,2.123721
Israel,2015,0.260875,0.923693,0.452504,3.071555,0.703864,3.92133,0.503205
Italy,2015,0.236545,0.946536,0.623938,5.630367,1.219242,3.458618,0.465702
Jamaica,2015,0.199259,0.927324,0.259079,4.574925,0.950794,2.575587,1.444198
Japan,2015,0.300201,0.688256,0.457507,3.564487,0.906163,3.262431,0.57671
Jordan,2015,0.193415,0.810958,0.1876,4.892519,1.6017,3.55496,0.656819
Kazakhstan,2015,0.19892,0.666498,0.22357,2.604275,0.629521,3.515736,3.512509
Kenya,2015,0.170214,0.641196,0.131502,3.630832,0.483446,3.514888,1.249349
Kiribati,2015,0.208208,0.42395,0.092558,3.281799,0.717381,3.180351,1.052312
Kuwait,2015,0.21492,0.863718,0.345496,4.933717,1.597621,3.598983,0.680048
Kyrgyzstan,2015,0.181469,0.663506,0.126155,2.559233,0.52777,3.056355,2.839514
Laos,2015,0.21398,0.53243,0.122156,4.215903,0.666111,2.890786,0.918794
Latin America and Caribbean,2015,0.204643,0.93072,0.283628,4.494938,0.879798,2.954018,2.105678
Latvia,2015,0.199003,0.696198,0.222607,2.944219,1.038212,3.493756,4.457263
Lebanon,2015,0.198035,0.995697,0.217924,6.073276,2.185748,3.728943,0.659943
Lesotho,2015,0.160409,0.605756,0.133521,3.476457,0.768028,5.63104,1.668428
Liberia,2015,0.160661,0.629811,0.089465,2.875233,0.510904,3.786835,0.949272
Libya,2015,0.195619,0.804456,0.22034,4.974983,2.582395,3.797078,0.683152
Lithuania,2015,0.19976,0.698522,0.228347,2.931244,0.607837,4.158024,4.494683
Low SDI,2015,0.211617,0.593265,0.117784,3.530809,0.574529,3.616471,1.263113
Low-middle SDI,2015,0.23033,0.610615,0.156423,3.646394,0.724233,3.642477,1.277965
Luxembourg,2015,0.263374,0.934318,0.737774,5.316953,0.940479,3.615115,1.363452
Macedonia,2015,0.202024,0.710647,0.1804,3.392779,0.491339,2.332124,1.876968
Madagascar,2015,0.163845,0.631889,0.103769,3.567933,0.494041,3.696718,1.510022
Malawi,2015,0.154141,0.604941,0.099678,3.639366,0.50462,3.392795,1.607572
Malaysia,2015,0.251197,0.578247,0.196888,4.399844,0.664769,3.461155,0.644343
Maldives,2015,0.242883,0.564472,0.156449,3.18518,0.686627,3.127677,0.826247
Mali,2015,0.16733,0.628281,0.115126,2.884228,0.439086,2.973458,0.904602
Malta,2015,0.257058,0.962467,0.507238,5.317005,0.870169,3.347923,1.109213
Marshall Islands,2015,0.218266,0.429012,0.111351,3.237136,0.771473,3.113196,1.223855
Mauritania,2015,0.17875,0.661409,0.142904,2.927931,0.49825,3.059015,0.928407
Mauritius,2015,0.240582,0.564243,0.179304,3.320624,0.708793,3.495053,1.299377
Mexico,2015,0.211334,0.818093,0.313727,3.182934,0.804195,2.772136,1.730384
Micronesia (country),2015,0.219265,0.437317,0.108879,3.255433,0.772385,3.144954,1.178944
Middle SDI,2015,0.260042,0.545033,0.178082,3.348,0.828643,3.179851,1.246061
Moldova,2015,0.183131,0.680177,0.139005,2.886766,0.652813,3.430092,4.068838
Mongolia,2015,0.189334,0.653948,0.173016,2.551804,0.528367,3.550133,3.480908
Montenegro,2015,0.202715,0.712429,0.191711,3.42693,0.608275,2.57097,1.856434
Morocco,2015,0.185884,0.781004,0.171629,4.984392,1.623631,5.526705,0.574894
Mozambique,2015,0.155592,0.610276,0.100742,3.65426,0.522644,3.891948,1.698174
Myanmar,2015,0.211861,0.509602,0.120132,3.307999,0.572084,2.282712,0.870134
Namibia,2015,0.17642,0.631215,0.196153,3.499314,0.773144,3.417682,1.683855
Nepal,2015,0.245631,0.583442,0.124484,3.864376,0.497888,3.672807,1.518993
Netherlands,2015,0.365154,0.947385,0.464945,6.578979,0.961438,4.028566,0.754582
New Zealand,2015,0.34099,1.206423,0.669326,8.539694,2.040377,3.967735,2.075727
Nicaragua,2015,0.199062,0.798685,0.200784,2.911002,0.586591,2.853856,2.061747
Niger,2015,0.163212,0.630629,0.093966,2.885208,0.457065,3.451298,0.910143
Nigeria,2015,0.181421,0.643384,0.160807,2.914794,0.457276,4.071251,0.964297
North Africa and Middle East,2015,0.195468,0.791039,0.211863,4.96663,1.718428,3.954431,0.659575
North America,2015,0.333206,0.658197,0.517583,6.503954,3.161712,4.713244,1.977545
North Korea,2015,0.235223,0.32625,0.090517,3.244619,0.915774,3.098722,1.361366
Northern Ireland,2015,0.262967,1.142171,0.522538,7.743813,1.24831,4.193336,1.143084
Northern Mariana Islands,2015,0.258891,0.487537,0.201718,3.311707,0.786136,3.103981,1.447913
Norway,2015,0.211403,0.856582,0.571305,7.596146,0.849551,3.681866,1.424897
Oceania,2015,0.213565,0.419285,0.108272,3.206863,0.734726,3.175589,1.192458
Oman,2015,0.202797,0.7876,0.25674,4.535895,1.70443,3.412646,0.691946
Pakistan,2015,0.256563,0.573979,0.152313,3.820925,0.669101,3.309776,1.525196
Palestine,2015,0.187741,0.824073,0.139787,4.979021,1.518831,4.741592,0.648873
Panama,2015,0.211826,0.810563,0.304011,2.886011,0.721562,2.666329,1.410564
Papua New Guinea,2015,0.208256,0.410903,0.102154,3.189703,0.732033,3.181005,1.210566
Paraguay,2015,0.201451,1.074953,0.232781,6.011838,0.531954,2.950421,2.359245
Peru,2015,0.202619,0.890522,0.367048,4.260744,0.585101,2.267037,1.437582
Philippines,2015,0.222323,0.533985,0.130319,3.260932,0.641977,2.749335,0.892222
Poland,2015,0.206806,0.711308,0.224348,3.461991,0.797481,2.263833,2.035273
Portugal,2015,0.249004,0.925073,0.510327,5.37913,0.690379,4.561403,1.276458
Puerto Rico,2015,0.212372,0.942083,0.413388,4.683272,0.953737,2.724765,1.699258
Qatar,2015,0.215344,0.820022,0.316654,4.334049,2.001989,3.478406,0.734206
Romania,2015,0.200363,0.751224,0.196733,3.230996,0.454763,2.343899,1.698824
Russia,2015,0.197955,0.675406,0.228643,2.948065,0.96125,3.692351,5.023229
Rwanda,2015,0.162693,0.624513,0.11216,3.689279,0.5883,3.854341,2.347621
Saint Lucia,2015,0.199943,0.904822,0.284521,4.594877,0.899422,2.836606,1.90237
Saint Vincent and the Grenadines,2015,0.196171,0.879974,0.272231,4.521452,0.793928,2.856424,2.211495
Samoa,2015,0.235022,0.460459,0.125778,3.256122,0.853908,3.047204,1.110764
Sao Tome and Principe,2015,0.177949,0.663023,0.13171,2.919073,0.486926,3.116748,1.013602
Saudi Arabia,2015,0.205256,0.817027,0.284659,4.751235,1.682436,3.510181,0.679555
Scotland,2015,0.238414,0.943953,0.471939,4.73731,1.918987,4.155792,3.344777
Senegal,2015,0.172951,0.647369,0.123728,2.894516,0.47235,3.329605,0.920909
Serbia,2015,0.199589,0.698199,0.185056,3.406153,0.447539,2.577638,2.027863
